StudentID,FirstName,LastName,MiddleName,Email,Phone,Address1,Address2,City,State,USCID,VIPID,MajorID
35,Tann,Gligorijevic,,tgligorijevic3@oakley.com,802-397-7179,156 Redwing Circle,Suite 2,Montpelier,NV,87762ZR52,27360661,113
36,Corty,Castletine,,mcastletine4@netscape.com,571-296-6395,8 Shelley Street,13th Floor,Ashburn,TX,U4YSD7M4E,77500420,113
37,Denney,Travis,Bettleson,tbettleson5@virginia.edu,207-787-7004,687 Northridge Way,,Portland,TX,J5KU0XF7V,98348371,113
38,Farris,Samuel,Fiander,sfiander6@jalbum.net,918-729-2273,51951 Jay Court,,Tulsa,HI,6ED81UT9B,91319100,113
39,Hartley,Ghest,,sghest7@amazonaws.com,214-497-7596,6 Melrose Trail,,Garland,MO,PSQ1FWU6B,47768988,113
40,Rosina,Tedmund,Barwis,tbarwis8@independent.co.uk,816-356-3568,3 Sommers Circle,13th Floor,Independence,CA,TIIEAY3SP,69257469,113
41,Lynna,Goretti,,rgoretti9@youtube.com,520-953-2300,86 American Parkway,7th Floor,Tucson,CA,ZN4T6GBFS,38830305,36
42,Dennie,Warland,,iwarlanda@furl.net,602-177-6018,701 Dakota Lane,Room 401,Phoenix,FL,1EFWEG0PU,46123614,36
43,Bunni,Volet,,dvoletb@blogtalkradio.com,757-431-3980,3948 Morningstar Circle,PO Box 71946,Norfolk,FL,2F9KNPAGO,42704919,36
44,Korey,Elisabeth,Instrell,einstrellc@imgur.com,601-374-3583,70 Loftsgordon Place,,Meridian,IN,G5G9PRJTB,75301975,36
45,Nigel,Sully,Nickolls,snickollsd@sina.com.cn,916-691-0977,30283 Petterle Way,Room 669,Sacramento,LA,3LEGK0XOP,73224656,36
46,Asia,Antoni,Wiltshaw,awiltshawe@mozilla.com,571-829-4409,71390 Bobwhite Court,,Alexandria,NE,CWJK4MWMH,87091494,36
47,Cullie,Rantoul,,jrantoulf@over-blog.com,302-568-8782,6 Monument Place,Suite 34,Wilmington,KS,FNQM80YYG,83568066,36
48,Tina,Argyle,,kargyleg@unblog.fr,517-826-6434,7773 Helena Point,PO Box 56315,Lansing,IA,X3DWLTCKR,10088569,36
49,Ario,Gherardi,,fgherardih@deviantart.com,254-659-5069,428 Merchant Lane,,Waco,FL,PVWOW3K7I,98505356,36
50,Cassandra,Cosme,Fullwood,cfullwoodi@freewebs.com,770-663-9176,366 Northland Alley,16th Floor,Atlanta,KY,KWXMWEBGX,16059333,36
51,Murray,Justen,Raynton,jrayntonj@meetup.com,515-405-6171,45790 Myrtle Street,,Des Moines,NM,DR1EOOPRR,24536775,113
52,Bord,Cregeen,,tcregeenk@jalbum.net,517-988-1056,1608 Michigan Trail,,Lansing,CO,4184NTC9H,5667950,113
53,Ansel,Bird,Janny,bjannyl@go.com,814-582-1223,0769 Pankratz Court,,Johnstown,NY,KTMGZ0IHG,85809823,113
54,Hester,Franciottoi,,dfranciottoim@blogtalkradio.com,915-537-5506,07 Ridge Oak Crossing,PO Box 43227,El Paso,OR,DB29ZM5C5,44249677,113
55,Roselle,Arnopp,,larnoppn@sourceforge.net,754-661-5078,77 Quincy Crossing,,Fort Lauderdale,NY,PUKKRXP2W,79798767,113
56,Smith,Argent,,aargento@wunderground.com,212-188-1294,48 Rusk Circle,,Jamaica,IA,ZMZAAUH9F,86263770,113
57,Cherie,Shipston,,rshipstonp@tiny.cc,305-623-8106,231 Lyons Place,,Hollywood,IL,4PVA2AQNT,25297278,113
58,Erma,Earlie,Hatch,ehatchq@gravatar.com,304-288-6558,116 Village Parkway,,Charleston,MO,CBZB7F9O1,52030246,113
59,Perry,Kip,Finlry,kfinlryr@smugmug.com,334-521-9610,8 Red Cloud Avenue,,Montgomery,TN,DZFSFJTNS,96067578,113
60,Dedie,Gunstone,,rgunstones@cbslocal.com,402-223-7885,8613 Pennsylvania Drive,Suite 98,Omaha,FL,92RX7W6WS,52210787,113
61,Sonny,Quilligan,,nquilligant@mail.ru,772-838-8224,4574 Merchant Crossing,Room 362,Fort Pierce,TX,QVBOM5F3Y,2189097,36
62,Mary,Gannie,Pilipets,gpilipetsu@irs.gov,770-909-6616,9195 Katie Place,Room 1493,Atlanta,MI,8A63T2I8A,55288818,36
63,Emmalyn,Meaddowcroft,,fmeaddowcroftv@weebly.com,303-414-1705,2047 Petterle Plaza,Apt 1435,Littleton,FL,08JXP3A95,11547838,36
64,Lanette,Robinet,Rapaport,rrapaportw@mozilla.org,951-902-0440,7821 John Wall Road,,San Bernardino,MA,9SXZXQ2JC,81002882,36
65,Ethe,McGilmartin,,cmcgilmartinx@apple.com,217-744-4064,8447 Main Pass,,Springfield,TX,I48JMO1OS,3020236,36
66,Skipton,Tocher,,itochery@timesonline.co.uk,859-248-1806,385 Mesta Avenue,,Lexington,TX,S1LYJXQ4T,51053316,36
67,Vick,Clacey,,mclaceyz@addtoany.com,404-448-3109,30948 8th Center,8th Floor,Decatur,KS,Y24IIAYR2,8151101,36
68,Marty,Yates,,gyates10@wikipedia.org,805-258-9392,6 Harper Pass,,Oxnard,TX,VPD1CU493,15444517,36
69,Carleton,Guildford,,mguildford11@yelp.com,518-398-1900,53494 Jenifer Alley,,Albany,MO,50WPO3ZOU,50284488,36
70,Cindelyn,Shandie,Finker,sfinker12@oakley.com,213-107-4106,15684 Susan Pass,15th Floor,Los Angeles,TX,3OZQLD7MQ,5319124,36
71,Cassey,Olivelli,,holivelli13@baidu.com,757-851-8836,81 Alpine Lane,Apt 605,Norfolk,IL,6ZF9L006W,56392172,113
72,Colleen,Josefsohn,,mjosefsohn14@gov.uk,915-775-4944,2869 Armistice Crossing,Room 901,El Paso,TN,JJNO9MMLG,63349614,113
73,Livia,Kevyn,Lamboll,klamboll15@sfgate.com,313-733-8500,816 Stoughton Avenue,Room 532,Dearborn,TX,J992GNWGF,96384865,113
74,Beckie,Ringo,Yukhov,ryukhov16@unc.edu,313-645-3542,73665 Oneill Place,,Detroit,MD,27905H2RT,21440310,113
75,Abramo,Ilyssa,Tiffin,itiffin17@state.tx.us,574-880-9420,8326 Debs Plaza,,South Bend,VA,UGNIL0DO3,80701885,113
76,Yasmeen,Dell,Littell,dlittell18@mashable.com,202-693-1287,38 Acker Plaza,,Washington,NJ,GQLXJ6MYS,88338516,113
77,Jodi,Lotta,Caseley,lcaseley19@usnews.com,510-732-8003,1364 Dovetail Point,Room 953,Oakland,GA,TSMVLMHVM,71099963,113
78,Matteo,Hawkridge,,thawkridge1a@amazon.co.jp,405-815-5158,007 Golf Course Street,,Oklahoma City,CA,JEZZWU2G2,53067620,113
79,Casey,Peasey,,hpeasey1b@latimes.com,702-901-5826,387 Ilene Alley,,Las Vegas,HI,YUYWRGNWO,28098469,113
80,Gradey,Horney,,bhorney1c@canalblog.com,610-620-9713,5678 Buell Drive,,Allentown,GA,HFJ3BEYNO,12099014,113
81,Waylen,Mont,,tmont1d@vimeo.com,425-649-2977,9 Crowley Hill,Apt 687,Everett,CA,TK8UVCTKQ,88715311,36
82,Sophi,Becaris,,abecaris1e@google.ru,703-634-3986,8544 Talmadge Alley,,Arlington,ID,SAJAOMZ17,5726310,36
83,Sam,Sweedy,,nsweedy1f@theglobeandmail.com,304-695-3485,6 Barby Lane,Suite 39,Huntington,UT,XW20QENLN,19112506,36
84,Sheryl,Dyneley,,ydyneley1g@nytimes.com,915-297-1203,166 Upham Circle,,El Paso,KY,3NRCIBGII,35463763,36
85,Ealasaid,Lane,MacAne,lmacane1h@mail.ru,206-490-9296,97 Carey Place,Apt 481,Tacoma,TX,9J04I78XJ,61942985,36
86,Ashlen,Bonnesen,,rbonnesen1i@chron.com,904-675-9929,3 Trailsway Park,18th Floor,Saint Augustine,MT,SVUGJMYCE,18327688,36
87,Algernon,Cowderay,,bcowderay1j@howstuffworks.com,607-431-7684,5 Susan Place,,Elmira,NY,YMQR6IUUH,23741125,36
88,Inga,Godiva,McGillicuddy,gmcgillicuddy1k@who.int,210-971-0056,4251 Cody Hill,,San Antonio,SD,NZ91QKHN1,89312529,36
89,Ashton,Abram,Conquest,aconquest1l@youtu.be,717-415-8219,55056 Arkansas Alley,PO Box 77521,Harrisburg,WA,SVTFVQQDI,9975390,36
90,Mathilda,Fugere,,ofugere1m@newyorker.com,719-575-2977,8 Sycamore Alley,,Colorado Springs,CA,XMIAQIUIS,63742430,36
91,Doris,Nestor,Budcock,nbudcock1n@canalblog.com,212-967-8980,80303 Almo Street,9th Floor,New York City,GA,SX0186G8H,97739608,113
92,Myrah,Magnar,,mmagnar1o@foxnews.com,850-908-1858,24 Kingsford Alley,Suite 45,Pensacola,IL,MDTX2DU69,66737113,113
93,Noach,Palffy,,epalffy1p@illinois.edu,360-923-5133,4176 Larry Park,,Vancouver,KS,TW6ZGHHRJ,41903364,113
94,Hollis,Woodes,,mwoodes1q@sphinn.com,202-616-4954,6715 Jenifer Park,Apt 1207,Washington,FL,5W1DK82A9,98888750,113
95,Loydie,Asals,,easals1r@ehow.com,775-654-8623,075 Delladonna Street,Suite 74,Carson City,MI,9FIPY84Y2,66188890,113
96,Wendell,Findlay,Primrose,fprimrose1s@123-reg.co.uk,267-796-0383,70 Boyd Park,,Levittown,FL,60VTKQ2LM,76096207,113
97,Colene,Battyll,,nbattyll1t@state.tx.us,323-514-9452,04362 Huxley Way,Apt 1899,Van Nuys,CO,IGEWDDECI,7690148,113
98,Lil,Seldon,,oseldon1u@bing.com,954-625-5955,2338 Clove Pass,,Miami,NC,SZIWZAT7J,21160160,113
99,Lorena,Chauvey,,pchauvey1v@123-reg.co.uk,513-976-4957,87585 Johnson Trail,,Columbus,CA,NB1WRJX2O,70841054,113
100,Horten,Ilaire,Scoggan,iscoggan1w@yahoo.co.jp,916-152-2006,3184 Cardinal Hill,,Sacramento,FL,KM3URG28T,51883450,113
101,Jemima,Yves,Venditti,yvenditti1x@sina.com.cn,919-796-9555,946 Dexter Road,,Durham,NV,406NALLR9,66278626,36
102,Erv,Di Boldi,,sdiboldi1y@princeton.edu,409-731-5975,1 Glacier Hill Lane,,Galveston,KY,Y0PIC1445,1093285,36
103,Hallsy,Caught,,ecaught1z@patch.com,662-299-1234,16135 Golden Leaf Terrace,,Columbus,WA,3C3EOPX9R,8937812,36
104,Natty,Blinni,Milhench,bmilhench20@bravesites.com,205-243-2481,92625 Orin Junction,,Birmingham,WI,QMLIAOHUY,76886655,36
105,May,Gleda,Matteucci,gmatteucci21@elegantthemes.com,801-405-4653,3122 Larry Lane,6th Floor,Ogden,DC,FYDZPAJT2,95377846,36
106,Malva,Darline,Comello,dcomello22@omniture.com,832-908-8224,63725 Reindahl Alley,,Houston,FL,OHSNOTIT1,48579034,36
107,Lynnette,Candice,Tricker,ctricker23@amazon.co.uk,602-792-8315,962 Warbler Hill,,Glendale,CA,MZ2Q44WCN,57168618,36
108,Maura,Habershaw,,whabershaw24@unc.edu,530-828-9867,14278 Darwin Way,,South Lake Tahoe,CA,S4KE4AKAQ,22624159,36
109,Fannie,Buche,,dbuche25@noaa.gov,202-234-5213,469 Maryland Parkway,,Washington,CT,FCVIKBBNX,98571356,36
110,Mart,Frawley,,sfrawley26@nbcnews.com,775-306-7534,15 Crowley Center,Room 457,Reno,NY,5QHUGB21H,98129898,36
111,Lina,Charnock,,icharnock27@discuz.net,413-416-8724,7 Holy Cross Way,Suite 60,Springfield,FL,K7DO5CWUO,19978920,113
112,Auberta,Courtnay,Treagust,ctreagust28@about.me,713-638-5651,51 Briar Crest Drive,,Humble,GA,JXVAZO4QC,49916890,113
113,Merrilee,Josskovitz,,gjosskovitz29@moonfruit.com,717-489-8380,0739 Straubel Trail,PO Box 32330,York,PA,6AIFOA1HX,34781063,113
114,Norene,Shillom,,sshillom2a@sourceforge.net,202-946-7972,45 Oriole Parkway,Room 1067,Washington,MN,48U9CAL3B,53779341,113
115,Moreen,Crucetti,,jcrucetti2b@phoca.cz,480-666-5462,4 Cottonwood Lane,8th Floor,Gilbert,CA,VMR9F2KD0,3459066,113
116,Stacey,Ami,Bunston,abunston2c@unicef.org,810-681-3669,4 Judy Hill,,Flint,AR,CAF3XGXND,40551900,113
117,Brent,Joseph,,cjoseph2d@dailymotion.com,337-958-4350,403 Ridgeway Center,,Lake Charles,DC,POIW1MWH2,82109910,113
118,Ruby,Kivelhan,,gkivelhan2e@usgs.gov,919-690-5553,007 Riverside Junction,,Durham,GA,RM01JISKF,28797133,113
119,Bernie,Toffolini,,btoffolini2f@chron.com,914-534-3871,80 Summit Alley,PO Box 35802,Yonkers,HI,V4V398PTJ,46936715,113
120,Sandi,Durand,,ndurand2g@topsy.com,661-229-9929,3013 Blue Bill Park Center,Suite 31,Bakersfield,NE,NC8F4XYVZ,93263752,113
121,Kellie,Ricoriki,Maestro,rmaestro2h@telegraph.co.uk,408-930-4642,7862 Ridgeview Plaza,,San Jose,FL,OFKTCEJ76,45731589,36
122,Viole,Roch,Bernat,rbernat2i@xinhuanet.com,337-139-4546,82 Prairie Rose Street,,Lake Charles,DC,VFRQIJGZH,73709292,36
123,Christos,Geipel,,cgeipel2j@cisco.com,913-574-7844,8 Dwight Lane,17th Floor,Shawnee Mission,FL,6RPA4G262,20877605,36
124,Barbee,Warhurst,,pwarhurst2k@live.com,561-785-6335,2500 Village Green Center,,Palm Bay,GA,32EVBZ6V6,31807528,36
125,Collete,Cortese,,ccortese2l@bravesites.com,212-438-1303,436 Basil Junction,1st Floor,New York City,IL,A3EZGSSVL,80688490,36
126,Dyann,Alva,Chasteney,achasteney2m@prnewswire.com,310-640-2568,6280 Macpherson Park,10th Floor,Santa Monica,NY,K4L2X8EI9,76204281,36
127,Phyllis,Roxine,De Morena,rdemorena2n@oracle.com,415-411-0321,7678 Onsgard Plaza,,San Francisco,NC,D0F54CHJM,73167542,36
128,Missy,Jedraszek,,bjedraszek2o@1688.com,786-191-2922,25 Northfield Crossing,Suite 88,Miami,AK,NUAA1J8Y1,97400294,36
129,Appolonia,Jordanna,Aronovitz,jaronovitz2p@si.edu,304-191-3323,00030 Victoria Trail,12th Floor,Charleston,VA,34GSLFMYA,76889258,36
130,Chastity,Ardath,Bassingden,abassingden2q@qq.com,480-145-8512,55 Rutledge Way,,Scottsdale,NY,ARX391OLO,6561606,36
131,Bonnee,Sappell,,asappell2r@bloglines.com,406-284-0851,7 8th Avenue,Apt 681,Bozeman,PA,2S935IYI2,66558494,113
132,Jamie,Genthner,,hgenthner2s@youku.com,803-883-3988,88 Cascade Road,,Columbia,OH,E9X9YOI25,11946557,113
133,Forest,Smallpiece,,fsmallpiece2t@blogspot.com,269-650-1098,0308 Ludington Plaza,,Kalamazoo,NJ,5CBII8SP7,45927984,113
134,Marielle,Bastiman,,hbastiman2u@live.com,904-877-7885,94719 Luster Drive,PO Box 99727,Jacksonville,NC,B53EB60ZX,60472700,113
135,Etty,Giveen,,hgiveen2v@technorati.com,701-681-3338,8 Melody Place,,Fargo,TN,X955LXJ7L,29713622,113
136,Murdock,Richings,,brichings2w@cafepress.com,517-998-6868,9484 Blaine Point,Suite 20,Lansing,NY,DBHWHI0TX,5340974,113
137,Ondrea,Gerrard,Maffia,gmaffia2x@netlog.com,719-332-6899,05 Arrowood Circle,,Colorado Springs,TX,UY53KI11I,16342975,113
138,Marcelline,Hally,Fairchild,hfairchild2y@usnews.com,786-289-4540,4 Kedzie Parkway,PO Box 73564,Miami,CA,PYHNKEF98,61927625,113
139,Jolee,Prinnett,,mprinnett2z@hexun.com,954-611-9624,503 Twin Pines Alley,,West Palm Beach,FL,WU9WZ9TX1,91977029,113
140,Nealon,Teasdale,,gteasdale30@nature.com,859-465-9629,15 Briar Crest Pass,,Lexington,MO,V1UOYFAJZ,20189712,113
